,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,155,570,7.355,5,0.952,3.546944732184041e-07
1,162,603,7.444,5,0.954,2.0437596031040993e-07
2,124,411,6.629,5,0.946,1.3416599434055292e-07
3,167,644,7.713,5,0.954,1.7504639848836097e-13
4,163,607,7.448,5,0.954,1.8098572990739754e-09
5,84,259,6.167,5,0.926,0.0001327508545264242
6,121,391,6.463,5,0.946,1.4449596285997505e-07
7,152,579,7.618,5,0.95,2.0232462583744646e-06
8,106,371,7.0,5,0.933,8.182688690086193e-06
9,125,435,6.96,6,0.944,6.193138884668852e-07
10,190,795,8.368,5,0.956,1.0264067008717292e-08
11,79,219,5.544,5,0.929,4.381708697947246e-05
12,152,572,7.526,5,0.95,9.991571825084993e-09
13,96,270,5.625,5,0.941,1.934975049441265e-05
14,137,492,7.182,5,0.947,8.27282875236904e-06
15,145,555,7.655,5,0.947,2.884742189752017e-07
16,197,823,8.355,6,0.957,1.841632166342304e-08
17,130,421,6.477,5,0.95,4.6869768215272304e-06
18,121,450,7.438,5,0.938,3.748157373875214e-12
19,110,334,6.073,6,0.944,6.111634212759853e-07
20,150,555,7.4,5,0.95,9.708190586292603e-05
21,156,588,7.538,5,0.951,6.313006209975733e-08
22,140,468,6.686,6,0.952,4.136417218529654e-07
23,144,515,7.153,5,0.95,1.9964315253907837e-06
24,87,259,5.954,5,0.931,3.329797792670753e-06
25,67,174,5.194,5,0.921,4.355336380267087e-07
26,208,864,8.308,5,0.96,5.797854281293505e-08
27,110,371,6.745,5,0.938,5.0412031068621435e-05
28,144,572,7.944,5,0.944,2.4952733950902977e-05
29,89,234,5.258,5,0.94,1.5283956486584582e-06
30,137,520,7.591,5,0.944,4.622235474118116e-12
31,74,179,4.838,5,0.934,7.0657304609827e-05
32,86,265,6.163,5,0.927,2.6634827704493747e-09
33,102,339,6.647,5,0.934,2.359718202422372e-06
34,133,482,7.248,5,0.945,7.141077813180827e-11
35,124,473,7.629,5,0.938,6.105370815891527e-09
36,85,219,5.153,5,0.939,7.081624813286657e-05
37,66,168,5.091,6,0.922,7.783281184103074e-10
38,76,198,5.211,5,0.931,0.0002898828923663833
39,111,366,6.595,5,0.94,2.338963897908355e-06
40,196,779,7.949,6,0.959,1.129639625758222e-07
41,66,149,4.515,5,0.931,0.00047623731064144666
42,128,470,7.344,5,0.942,5.3486305344299174e-08
43,108,344,6.37,5,0.94,0.00011651245587523856
44,86,280,6.512,5,0.923,8.135638604851031e-05
45,83,219,5.277,5,0.936,0.000185757201643322
46,141,497,7.05,6,0.95,4.539093187644982e-09
47,93,273,5.871,5,0.936,1.5419915872922608e-07
48,138,538,7.797,5,0.943,3.9632254558659236e-05
49,58,137,4.724,5,0.917,0.0003277797564920638
50,110,365,6.636,5,0.939,5.7138834514897406e-05
51,112,384,6.857,5,0.938,1.4461413561118369e-05
52,185,712,7.697,5,0.958,4.400031020483027e-09
53,137,515,7.518,5,0.945,6.733799407812277e-15
54,66,160,4.848,5,0.925,6.798032364266749e-05
55,103,336,6.524,5,0.936,1.0523341513480892e-07
56,102,310,6.078,6,0.94,3.1409724335454335e-08
57,85,249,5.859,5,0.93,9.819654244025823e-05
58,81,212,5.235,6,0.935,4.659536694316355e-06
59,125,450,7.2,6,0.942,1.2091105213732863e-06
