,Order,Size,Average Degree,Diameter,Sparsity,Coherence
0,244,873,7.156,6,0.971,1.0612698029409876e-16
1,185,693,7.492,6,0.959,4.0616909704924427e-11
2,180,649,7.211,6,0.96,3.6237790045946195e-09
3,144,482,6.694,6,0.953,2.2999042767488983e-07
4,158,560,7.089,6,0.955,3.697762865116576e-07
5,127,400,6.299,6,0.95,2.630346652919834e-07
6,154,498,6.468,6,0.958,3.2287453909696086e-08
7,158,558,7.063,6,0.955,2.545742094781017e-07
8,189,629,6.656,6,0.965,1.569412338479565e-08
9,127,350,5.512,6,0.956,4.374197975599789e-10
10,219,721,6.584,6,0.97,7.973782678540243e-11
11,159,575,7.233,5,0.954,3.1601989210208477e-12
12,180,585,6.5,6,0.964,9.356285578284887e-08
13,130,384,5.908,6,0.954,5.449182302757659e-09
14,110,323,5.873,6,0.946,2.3902655123367842e-08
15,168,574,6.833,6,0.959,1.6100184724598245e-10
16,117,253,4.325,6,0.963,1.0211059089167525e-05
17,159,493,6.201,6,0.961,5.855848495248012e-11
18,220,700,6.364,6,0.971,1.6237866931241023e-10
19,170,512,6.024,6,0.964,1.1211525413587622e-08
20,214,738,6.897,6,0.968,3.437912897386033e-12
21,150,427,5.693,6,0.962,3.150267151647119e-08
22,186,580,6.237,6,0.966,1.3175958528927455e-09
23,383,1486,7.76,6,0.98,7.110856753385174e-21
24,115,346,6.017,6,0.947,2.169045302056874e-08
25,230,793,6.896,6,0.97,3.884129522422122e-10
26,150,408,5.44,6,0.963,1.3593267768996092e-09
27,161,515,6.398,6,0.96,1.5117526440133406e-06
28,98,245,5.0,6,0.948,2.428770364614836e-06
29,172,551,6.407,6,0.963,7.020564557848096e-08
30,151,389,5.152,6,0.966,4.583667906873023e-13
31,154,568,7.377,5,0.952,2.4370703745887735e-07
32,125,384,6.144,6,0.95,4.703876584921516e-08
33,140,462,6.6,6,0.953,1.5517148760884493e-07
34,97,251,5.175,6,0.946,6.363053203579329e-07
35,124,321,5.177,5,0.958,1.329647590239665e-05
36,145,489,6.745,6,0.953,1.9880747233452114e-12
37,109,340,6.239,6,0.942,3.7666600475428496e-07
38,104,348,6.692,6,0.935,2.6154352014701597e-07
39,230,859,7.47,6,0.967,6.377605781757277e-11
40,127,316,4.976,6,0.961,5.943661607846057e-06
41,166,448,5.398,6,0.967,3.040473873573511e-12
42,60,144,4.8,5,0.919,3.6064618604277055e-05
43,227,745,6.564,6,0.971,3.5537373525595827e-13
44,416,1704,8.192,6,0.98,1.0547221399876065e-15
45,337,1288,7.644,6,0.977,6.663004808857549e-14
46,344,1410,8.198,6,0.976,1.4031110186257833e-14
47,325,1238,7.618,6,0.976,7.319952220047824e-13
48,115,359,6.243,6,0.945,3.5244742208929414e-07
49,94,269,5.723,5,0.938,2.668466675887001e-06
50,100,298,5.96,5,0.94,1.5450701169985153e-06
51,114,264,4.632,6,0.959,1.9362857933701766e-07
52,307,1164,7.583,6,0.975,7.119323961241269e-13
53,155,505,6.516,6,0.958,4.090333926483702e-08
54,153,545,7.124,6,0.953,1.0177585080775714e-11
55,78,138,3.538,6,0.954,1.7536304687940187e-06
56,70,190,5.429,5,0.921,0.0003409465941472052
57,91,247,5.429,6,0.94,5.603471700965095e-06
58,271,1122,8.28,6,0.969,1.3924774093140447e-11
59,229,922,8.052,6,0.965,2.877417138779878e-10
